label,handedness,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,Left,0.644414544,0.633873761,-1.19E-06,0.43770051,0.651803374,-0.003525562,0.274183869,0.590693235,-0.01138101,0.18231076,0.493280262,-0.014120756,0.221988782,0.420750916,-0.010710848,0.314365715,0.434821695,-0.047038991,0.259363115,0.392306477,-0.025427302,0.286876351,0.450563669,-0.000314925,0.311648667,0.494463414,0.009999368,0.420221299,0.372397602,-0.048183139,0.369389415,0.368705601,-0.018532839,0.383378983,0.416883796,0.002252277,0.411295861,0.454084456,0.004051338,0.527926326,0.345830381,-0.040938281,0.48414886,0.360133052,-0.011423847,0.489637375,0.40279898,0.012547309,0.516044021,0.442417979,0.015385976,0.632752657,0.339385271,-0.032655969,0.597160339,0.35038662,-0.004810205,0.597649038,0.393978268,0.023736263,0.610774577,0.425144702,0.03849278
A,Left,0.609227061,0.602181852,-1.27E-06,0.410362899,0.611140609,-0.006461072,0.254280895,0.54069674,-0.00994451,0.183778822,0.440899462,-0.009786032,0.224915981,0.373898596,-0.004629673,0.317421019,0.400560111,-0.028137406,0.247800857,0.360765874,-0.020143129,0.277017206,0.425864875,-0.010054876,0.301910818,0.46761167,-0.006894419,0.420070499,0.349878907,-0.029461585,0.352320522,0.342682332,-0.010315212,0.36592418,0.398397982,0.004549478,0.38937217,0.434364319,0.005487837,0.51986742,0.336063564,-0.026711127,0.460511655,0.351173431,-0.009607639,0.465783477,0.396873266,0.010646292,0.489930391,0.429326802,0.014756505,0.615166128,0.341703415,-0.02335017,0.567865849,0.355076939,-0.003211743,0.570927083,0.39948228,0.025035976,0.586434007,0.425999939,0.040926948
A,Left,0.561823964,0.603713572,-1.02E-06,0.361777067,0.613473773,-0.007951417,0.213497415,0.538224339,-0.014394991,0.149630338,0.439051449,-0.014838881,0.194465101,0.384304762,-0.010286395,0.277006298,0.410891622,-0.039023742,0.219615877,0.362606049,-0.02157053,0.245648742,0.409969509,-0.005230186,0.261500299,0.458132535,0.00063247,0.378992975,0.357287496,-0.036977623,0.319531232,0.348292977,-0.007533726,0.331273496,0.385599256,0.008657631,0.347142577,0.423856854,0.007252031,0.478554964,0.342748374,-0.028602248,0.420461178,0.348884821,-0.002534473,0.422352433,0.382354468,0.018516947,0.4421404,0.420015752,0.020561274,0.574314475,0.346901059,-0.019210957,0.521919072,0.347066879,0.00471142,0.520910442,0.382046133,0.034371745,0.533100188,0.411260217,0.05049599
A,Left,0.510501742,0.775628805,-1.37E-06,0.685019493,0.721692383,-0.055358019,0.801149905,0.61769706,-0.075509727,0.797813535,0.496169806,-0.092420094,0.757835805,0.413699925,-0.09706977,0.677399337,0.49070549,-0.04871814,0.674945652,0.394656688,-0.119303487,0.669817626,0.519664109,-0.146690056,0.667183936,0.567126215,-0.157637924,0.56128329,0.493577063,-0.047924176,0.563919783,0.407070845,-0.130555332,0.575796843,0.549320042,-0.144687146,0.576408625,0.574530005,-0.143148392,0.458482713,0.507613301,-0.056315221,0.468684763,0.421983153,-0.140426233,0.49021852,0.5556041,-0.112040296,0.491412371,0.579112768,-0.078333572,0.351785272,0.530760407,-0.068402052,0.368835419,0.459410787,-0.114752285,0.405451775,0.551513493,-0.0858334,0.413474828,0.583664954,-0.057152245
A,Left,0.46655941,0.818342984,-1.27E-06,0.635658264,0.744868636,-0.060095891,0.754140615,0.625645101,-0.078996025,0.746560872,0.507176399,-0.093117304,0.712239742,0.421090126,-0.093609117,0.617302239,0.512901247,-0.048609197,0.620694041,0.41065219,-0.119238533,0.621579349,0.538824677,-0.144637257,0.612385809,0.581878901,-0.153824747,0.501350403,0.524047673,-0.044945113,0.513046086,0.439026982,-0.121250927,0.532479584,0.585733235,-0.131963745,0.521109223,0.602739394,-0.129359484,0.398787558,0.547617316,-0.051554665,0.414158225,0.458212078,-0.132456973,0.443683505,0.596273482,-0.101817735,0.43352133,0.615177274,-0.067363299,0.291451246,0.581928611,-0.062094629,0.313976467,0.505053163,-0.106407456,0.35678947,0.594932973,-0.075022712,0.355104893,0.624955893,-0.044592921
A,Left,0.468255192,0.743371606,-1.38E-06,0.642450094,0.677691936,-0.055074416,0.755637407,0.558660269,-0.071726441,0.742320418,0.437704027,-0.08395008,0.6990363,0.360782415,-0.082191318,0.623995721,0.449917287,-0.048448108,0.618813038,0.347551346,-0.121145703,0.618703425,0.478678286,-0.149208352,0.618156731,0.521930099,-0.160823628,0.504622459,0.461695075,-0.046719536,0.5090186,0.369951963,-0.130918592,0.528735578,0.516628921,-0.144752666,0.528572857,0.537481546,-0.1432129,0.40099299,0.481925607,-0.054310467,0.412460446,0.390529513,-0.139712438,0.441037357,0.528358936,-0.109500848,0.443287551,0.548615575,-0.074568152,0.295569181,0.5081442,-0.065452389,0.31645903,0.43680203,-0.110112108,0.354793608,0.532032967,-0.078317627,0.359110922,0.562889695,-0.048087921
A,Left,0.385550797,0.736106515,-1.42E-06,0.524304807,0.672159731,-0.068348728,0.646930933,0.569924951,-0.110153243,0.693962693,0.492742807,-0.14815034,0.681362152,0.4323318,-0.176032975,0.464362413,0.414828479,-0.094320178,0.5944736,0.441463202,-0.171106279,0.598694682,0.548988998,-0.207477972,0.560147941,0.565613806,-0.230690867,0.35103789,0.419554949,-0.098426208,0.497745842,0.491055071,-0.170328289,0.508646011,0.611834705,-0.183535889,0.47370702,0.612523913,-0.190394089,0.265174419,0.463341713,-0.110627607,0.400682926,0.545994997,-0.176075593,0.413428932,0.645554662,-0.159909591,0.374008328,0.638467073,-0.146613032,0.193552256,0.52463311,-0.130865291,0.300647289,0.601263165,-0.170211747,0.332147717,0.666783929,-0.16003488,0.311416596,0.662315726,-0.150595382
A,Left,0.331080467,0.80633986,-1.67E-06,0.482314348,0.745720625,-0.074408486,0.608453393,0.643777847,-0.12185175,0.664990485,0.554721475,-0.165903986,0.654987931,0.475173414,-0.199309364,0.432342559,0.471440405,-0.088292867,0.561058998,0.502623618,-0.176919714,0.559305608,0.613298237,-0.223122373,0.517712533,0.635124922,-0.250919402,0.317638606,0.474264026,-0.091953635,0.462641627,0.551854074,-0.177135482,0.466166258,0.679858923,-0.198315576,0.426741838,0.686338246,-0.207464114,0.226829186,0.518093824,-0.105567113,0.356794596,0.610171556,-0.182226285,0.364546657,0.717266142,-0.166833222,0.324585736,0.712572932,-0.150894865,0.145308763,0.582645118,-0.128002211,0.248621657,0.663089275,-0.173266962,0.283131987,0.73359704,-0.162586465,0.2666969,0.727415979,-0.15053466
A,Left,0.385547519,0.733478427,-1.48E-06,0.52903527,0.682935178,-0.065359205,0.649250031,0.594477296,-0.106385268,0.70118463,0.521838784,-0.145751208,0.701041818,0.453507602,-0.176199317,0.501237035,0.428774595,-0.077107124,0.60803777,0.464392632,-0.156568855,0.59861213,0.56549561,-0.199259967,0.562039554,0.575323105,-0.226314604,0.393834531,0.424650341,-0.082168214,0.511216521,0.502287149,-0.154850364,0.507625341,0.618964732,-0.170984,0.474820524,0.616099119,-0.178345308,0.30422911,0.459893316,-0.096795313,0.411045611,0.548553228,-0.164825425,0.413970768,0.649069369,-0.150290579,0.381274611,0.640630245,-0.136096463,0.223157942,0.513730049,-0.119469263,0.310075998,0.59809804,-0.160136014,0.331409723,0.667564869,-0.150815412,0.313554525,0.661613703,-0.140782371
A,Left,0.418511838,0.727693439,-1.01E-06,0.533551097,0.671598077,-0.050734643,0.617336154,0.585517049,-0.06868007,0.610348105,0.499907136,-0.081551962,0.572008371,0.442851931,-0.082194932,0.50805223,0.513373137,-0.044264235,0.510955691,0.446426719,-0.102221914,0.518443167,0.544921935,-0.123682618,0.515000105,0.568264723,-0.132103235,0.425408185,0.526259661,-0.038852543,0.435601294,0.471301138,-0.098634362,0.454890907,0.575834751,-0.105670989,0.449128568,0.576547623,-0.103353418,0.353072315,0.543454528,-0.042299259,0.364706546,0.488836676,-0.101491332,0.388444334,0.582371294,-0.079615772,0.382708877,0.584982634,-0.056330647,0.277518421,0.564318299,-0.049910106,0.293008089,0.529526055,-0.079558216,0.32388103,0.587916255,-0.059739061,0.324866235,0.598482788,-0.041265938
