label,handedness,rx1,ry1,rz1,rx2,ry2,rz2,rx3,ry3,rz3,rx4,ry4,rz4,rx5,ry5,rz5,rx6,ry6,rz6,rx7,ry7,rz7,rx8,ry8,rz8,rx9,ry9,rz9,rx10,ry10,rz10,rx11,ry11,rz11,rx12,ry12,rz12,rx13,ry13,rz13,rx14,ry14,rz14,rx15,ry15,rz15,rx16,ry16,rz16,rx17,ry17,rz17,rx18,ry18,rz18,rx19,ry19,rz19,rx20,ry20,rz20
A,Left,-0.206714034,0.017929613,-0.003524372,-0.370230675,-0.043180526,-0.01137982,-0.462103784,-0.140593499,-0.014119566,-0.422425762,-0.213122845,-0.010709658,-0.330048829,-0.199052066,-0.047037801,-0.385051429,-0.241567284,-0.025426112,-0.357538193,-0.183310092,-0.000313735,-0.332765877,-0.139410347,0.010000558,-0.224193245,-0.261476159,-0.048181949,-0.275025129,-0.26516816,-0.018531649,-0.261035561,-0.216989965,0.002253467,-0.233118683,-0.179789305,0.004052528,-0.116488218,-0.28804338,-0.040937091,-0.160265684,-0.273740709,-0.011422657,-0.154777169,-0.231074781,0.012548499,-0.128370523,-0.191455782,0.015387166,-0.011661887,-0.29448849,-0.032654779,-0.047254205,-0.283487141,-0.004809015,-0.046765506,-0.239895493,0.023737453,-0.033639967,-0.208729059,0.03849397
A,Left,-0.198864162,0.008958757,-0.006459802,-0.354946166,-0.061485112,-0.00994324,-0.425448239,-0.16128239,-0.009784762,-0.38431108,-0.228283256,-0.004628403,-0.291806042,-0.201621741,-0.028136136,-0.361426204,-0.241415978,-0.020141859,-0.332209855,-0.176316977,-0.010053606,-0.307316243,-0.134570182,-0.006893149,-0.189156562,-0.252302945,-0.029460315,-0.256906539,-0.25949952,-0.010313942,-0.243302881,-0.20378387,0.004550748,-0.219854891,-0.167817533,0.005489107,-0.089359641,-0.266118288,-0.026709857,-0.148715406,-0.251008421,-0.009606369,-0.143443584,-0.205308586,0.010647562,-0.11929667,-0.17285505,0.014757775,0.005939067,-0.260478437,-0.0233489,-0.041361212,-0.247104913,-0.003210473,-0.038299978,-0.202699572,0.025037246,-0.022793054,-0.176181913,0.040928218
A,Left,-0.200046897,0.009760201,-0.007950397,-0.348326549,-0.065489233,-0.014393971,-0.412193626,-0.164662123,-0.014837861,-0.367358863,-0.21940881,-0.010285375,-0.284817666,-0.19282195,-0.039022722,-0.342208087,-0.241107523,-0.02156951,-0.316175222,-0.193744063,-0.005229166,-0.300323665,-0.145581037,0.00063349,-0.182830989,-0.246426076,-0.036976603,-0.242292732,-0.255420595,-0.007532706,-0.230550468,-0.218114316,0.008658651,-0.214681387,-0.179856718,0.007253051,-0.083269,-0.260965198,-0.028601228,-0.141362786,-0.254828751,-0.002533453,-0.139471531,-0.221359104,0.018517967,-0.119683564,-0.18369782,0.020562294,0.012490511,-0.256812513,-0.019209937,-0.039904892,-0.256646693,0.00471244,-0.040913522,-0.221667439,0.034372765,-0.028723776,-0.192453355,0.05049701
A,Left,0.174517751,-0.053936422,-0.055356649,0.290648163,-0.157931745,-0.075508357,0.287311793,-0.279458999,-0.092418724,0.247334063,-0.36192888,-0.0970684,0.166897595,-0.284923315,-0.04871677,0.16444391,-0.380972117,-0.119302117,0.159315884,-0.255964696,-0.146688686,0.156682194,-0.20850259,-0.157636554,0.050781548,-0.282051742,-0.047922806,0.053418041,-0.36855796,-0.130553962,0.065295101,-0.226308763,-0.144685776,0.065906883,-0.2010988,-0.143147022,-0.052019029,-0.268015504,-0.056313851,-0.041816979,-0.353645652,-0.140424863,-0.020283222,-0.220024705,-0.112038926,-0.019089371,-0.196516037,-0.078332202,-0.15871647,-0.244868398,-0.068400682,-0.141666323,-0.316218018,-0.114750915,-0.105049967,-0.224115312,-0.08583203,-0.097026914,-0.191963851,-0.057150875
A,Left,0.169098854,-0.073474348,-0.060094621,0.287581205,-0.192697883,-0.078994755,0.280001462,-0.311166585,-0.093116034,0.245680332,-0.397252858,-0.093607847,0.150742829,-0.305441737,-0.048607927,0.154134631,-0.407690794,-0.119237263,0.155019939,-0.279518307,-0.144635987,0.145826399,-0.236464083,-0.153823477,0.034790993,-0.294295311,-0.044943843,0.046486676,-0.379316002,-0.121249657,0.065920174,-0.232609749,-0.131962475,0.054549813,-0.21560359,-0.129358214,-0.067771852,-0.270725668,-0.051553395,-0.052401185,-0.360130906,-0.132455703,-0.022875905,-0.222069502,-0.101816465,-0.03303808,-0.20316571,-0.067362029,-0.175108164,-0.236414373,-0.062093359,-0.152582943,-0.313289821,-0.106406186,-0.10976994,-0.223410011,-0.075021442,-0.111454517,-0.193387091,-0.044591651
A,Left,0.174194902,-0.06567967,-0.055073036,0.287382215,-0.184711337,-0.071725061,0.274065226,-0.305667579,-0.0839487,0.230781108,-0.382589191,-0.082189938,0.155740529,-0.293454319,-0.048446728,0.150557846,-0.39582026,-0.121144323,0.150448233,-0.26469332,-0.149206972,0.149901539,-0.221441507,-0.160822248,0.036367267,-0.281676531,-0.046718156,0.040763408,-0.373419643,-0.130917212,0.060480386,-0.226742685,-0.144751286,0.060317665,-0.20589006,-0.14321152,-0.067262202,-0.261445999,-0.054309087,-0.055794746,-0.352842093,-0.139711058,-0.027217835,-0.21501267,-0.109499468,-0.024967641,-0.194756031,-0.074566772,-0.172686011,-0.235227406,-0.065451009,-0.151796162,-0.306569576,-0.110110728,-0.113461584,-0.211338639,-0.078316247,-0.10914427,-0.180481911,-0.048086541
A,Left,0.13875401,-0.063946784,-0.068347308,0.261380136,-0.166181564,-0.110151823,0.308411896,-0.243363708,-0.14814892,0.295811355,-0.303774715,-0.176031555,0.078811616,-0.321278036,-0.094318758,0.208922803,-0.294643313,-0.171104859,0.213143885,-0.187117517,-0.207476552,0.174597144,-0.170492709,-0.230689447,-0.034512907,-0.316551566,-0.098424788,0.112195045,-0.245051444,-0.170326869,0.123095214,-0.12427181,-0.183534469,0.088156223,-0.123582602,-0.190392669,-0.120376378,-0.272764802,-0.110626187,0.015132129,-0.190111518,-0.176074173,0.027878135,-0.090551853,-0.159908171,-0.011542469,-0.097639442,-0.146611612,-0.191998541,-0.211473405,-0.130863871,-0.084903508,-0.13484335,-0.170210327,-0.05340308,-0.069322586,-0.16003346,-0.074134201,-0.073790789,-0.150593962
A,Left,0.151233881,-0.060619235,-0.074406816,0.277372926,-0.162562013,-0.12185008,0.333910018,-0.251618385,-0.165902316,0.323907464,-0.331166446,-0.199307694,0.101262092,-0.334899455,-0.088291197,0.229978531,-0.303716242,-0.176918044,0.228225141,-0.193041623,-0.223120703,0.186632066,-0.171214938,-0.250917732,-0.013441861,-0.332075834,-0.091951965,0.13156116,-0.254485786,-0.177133812,0.135085791,-0.126480937,-0.198313906,0.095661371,-0.120001614,-0.207462444,-0.104251281,-0.288246036,-0.105565443,0.025714129,-0.196168304,-0.182224615,0.03346619,-0.089073718,-0.166831552,-0.006494731,-0.093766928,-0.150893195,-0.185771704,-0.223694742,-0.128000541,-0.08245881,-0.143250585,-0.173265292,-0.04794848,-0.07274282,-0.162584795,-0.064383567,-0.078923881,-0.15053299
A,Left,0.143487751,-0.050543249,-0.065357725,0.263702512,-0.139001131,-0.106383788,0.315637111,-0.211639643,-0.145749728,0.315494299,-0.279970825,-0.176197837,0.115689516,-0.304703832,-0.077105644,0.222490251,-0.269085795,-0.156567375,0.213064611,-0.167982817,-0.199258487,0.176492035,-0.158155322,-0.226313124,0.008287012,-0.308828086,-0.082166734,0.125669002,-0.231191278,-0.154848884,0.122077822,-0.114513695,-0.17098252,0.089273005,-0.117379308,-0.178343828,-0.081318409,-0.273585111,-0.096793833,0.025498092,-0.184925199,-0.164823945,0.028423249,-0.084409058,-0.150289099,-0.004272908,-0.092848182,-0.136094983,-0.162389577,-0.219748378,-0.119467783,-0.075471521,-0.135380387,-0.160134534,-0.054137796,-0.065913558,-0.150813932,-0.071992994,-0.071864724,-0.140780891
A,Left,0.115039259,-0.056095362,-0.050733633,0.198824316,-0.14217639,-0.06867906,0.191836267,-0.227786303,-0.081550952,0.153496533,-0.284841508,-0.082193922,0.089540392,-0.214320302,-0.044263225,0.092443853,-0.28126672,-0.102220904,0.099931329,-0.182771504,-0.123681608,0.096488267,-0.159428716,-0.132102225,0.006896347,-0.201433778,-0.038851533,0.017089456,-0.256392301,-0.098633352,0.036379069,-0.151858688,-0.105669979,0.03061673,-0.151145816,-0.103352408,-0.065439523,-0.184238911,-0.042298249,-0.053805292,-0.238856763,-0.101490322,-0.030067504,-0.145322145,-0.079614762,-0.035802961,-0.142710805,-0.056329637,-0.140993417,-0.16337514,-0.049909096,-0.125503749,-0.198167384,-0.079557206,-0.094630808,-0.139777184,-0.059738051,-0.093645603,-0.129210651,-0.041264928
