               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062794,            0.021881,             0.06813,           0.0044686,             0.98077,            0.066807,            0.029532,            0.030587,           0.0083184,            0.053106,             0.07004,           0.0033289,           0.0033289
                   1,            0.039854,            0.017586,            0.063446,            0.012738,              0.9897,             0.13877,            0.081146,            0.022115,           0.0053299,            0.050608,            0.040007,           0.0066293,           0.0066293
                   2,             0.03632,            0.015081,            0.062813,            0.015956,             0.98718,             0.13645,            0.088568,            0.021623,           0.0040212,            0.049914,           0.0099407,           0.0098966,           0.0098966
                   3,            0.031216,            0.013419,            0.060439,             0.43196,             0.20705,             0.19094,             0.10241,            0.025929,           0.0035866,            0.049095,           0.0098515,           0.0098515,           0.0098515
                   4,            0.028906,            0.012918,            0.060797,             0.11069,             0.76916,             0.22444,             0.15981,            0.014684,           0.0035604,            0.047628,           0.0098515,           0.0098515,           0.0098515
                   5,             0.02723,            0.012729,            0.059949,             0.29029,             0.34623,             0.25083,             0.14451,            0.020239,           0.0032155,            0.045006,            0.009802,            0.009802,            0.009802
                   6,            0.025245,            0.012017,            0.057111,             0.21462,             0.46823,             0.29245,             0.19302,            0.018008,           0.0033252,            0.042912,           0.0097525,           0.0097525,           0.0097525
                   7,             0.02454,            0.011555,            0.055673,             0.30281,             0.52532,              0.2943,             0.19705,            0.017213,           0.0031461,            0.041259,            0.009703,            0.009703,            0.009703
                   8,            0.024408,            0.011683,            0.054299,             0.23945,             0.61606,             0.31381,             0.22154,             0.01711,           0.0030529,            0.039403,           0.0096535,           0.0096535,           0.0096535
                   9,            0.023068,            0.011673,            0.052449,             0.35342,              0.5594,             0.42253,             0.30415,            0.016265,           0.0030113,            0.038361,            0.009604,            0.009604,            0.009604
                  10,            0.022947,            0.011469,            0.052076,             0.32396,             0.57211,             0.45281,             0.27158,            0.020688,           0.0030957,            0.036482,           0.0095545,           0.0095545,           0.0095545
                  11,            0.024089,            0.011345,            0.050084,             0.26598,             0.64122,             0.43891,             0.30067,            0.015534,           0.0030192,            0.035654,            0.009505,            0.009505,            0.009505
                  12,            0.023595,            0.011195,              0.0492,             0.28783,              0.6958,             0.51064,             0.39289,            0.013271,           0.0029299,             0.03528,           0.0094555,           0.0094555,           0.0094555
                  13,            0.022699,             0.01125,            0.048032,             0.29469,             0.70949,             0.55303,             0.40297,            0.014144,            0.002977,            0.033645,            0.009406,            0.009406,            0.009406
                  14,            0.021714,            0.010968,            0.046746,             0.26755,             0.75501,             0.56496,             0.43188,            0.014334,           0.0029381,            0.032891,           0.0093565,           0.0093565,           0.0093565
                  15,            0.022776,            0.011237,            0.045934,             0.43796,             0.61521,             0.57918,             0.39251,              0.0155,           0.0030656,            0.032046,            0.009307,            0.009307,            0.009307
                  16,            0.021957,            0.010692,            0.045422,             0.37323,             0.71514,              0.5754,             0.43511,             0.01574,            0.002922,            0.031119,           0.0092575,           0.0092575,           0.0092575
                  17,            0.022027,            0.010947,            0.044001,             0.33234,             0.81167,             0.61533,             0.42231,            0.015682,           0.0029597,            0.032141,            0.009208,            0.009208,            0.009208
                  18,            0.022777,             0.01108,             0.04339,              0.4481,             0.69744,             0.60913,             0.44559,            0.015217,           0.0029803,            0.028881,           0.0091585,           0.0091585,           0.0091585
                  19,            0.021615,            0.010435,            0.042557,             0.37346,             0.78038,              0.6289,             0.43287,            0.015622,           0.0030244,            0.028206,            0.009109,            0.009109,            0.009109
                  20,            0.022012,            0.010805,            0.041292,              0.4659,             0.70006,             0.66578,             0.47866,             0.01465,            0.003031,            0.028522,           0.0090595,           0.0090595,           0.0090595
                  21,            0.021515,            0.010272,            0.040635,             0.54891,             0.73376,             0.66451,             0.50567,            0.012904,           0.0029586,            0.027913,             0.00901,             0.00901,             0.00901
                  22,            0.021583,            0.010605,            0.040548,             0.50096,              0.7819,             0.68955,             0.50742,            0.015328,           0.0029726,            0.026926,           0.0089605,           0.0089605,           0.0089605
                  23,            0.021359,            0.010295,            0.038704,             0.45374,             0.79368,             0.67676,             0.49581,            0.016014,           0.0031295,            0.026268,            0.008911,            0.008911,            0.008911
                  24,            0.021907,            0.010638,             0.03954,             0.57354,             0.72237,             0.72215,             0.52346,            0.015818,           0.0030398,            0.025266,           0.0088615,           0.0088615,           0.0088615
                  25,             0.02143,            0.010581,            0.038328,             0.54673,             0.77412,             0.76665,             0.54402,            0.015452,           0.0029902,            0.024339,            0.008812,            0.008812,            0.008812
                  26,             0.02105,            0.010102,            0.036389,             0.62745,             0.74925,             0.78193,             0.53311,            0.016576,           0.0031154,            0.023733,           0.0087625,           0.0087625,           0.0087625
                  27,            0.020943,            0.010323,            0.036789,              0.6752,              0.7365,             0.78597,             0.55661,            0.015387,           0.0030644,            0.022457,            0.008713,            0.008713,            0.008713
                  28,             0.02102,            0.010316,            0.036008,             0.55773,             0.81235,             0.79542,             0.59532,            0.015422,           0.0030309,            0.022187,           0.0086635,           0.0086635,           0.0086635
                  29,             0.02071,            0.010036,             0.03544,             0.64851,             0.72185,             0.77013,             0.59633,            0.014057,           0.0031082,            0.022199,            0.008614,            0.008614,            0.008614
                  30,            0.020314,            0.010476,            0.035333,             0.64965,             0.77175,             0.81198,              0.5804,            0.015949,           0.0031239,            0.021197,           0.0085645,           0.0085645,           0.0085645
                  31,            0.019862,            0.010058,            0.033891,             0.57388,             0.82805,             0.81942,             0.61503,            0.014589,           0.0030142,            0.021052,            0.008515,            0.008515,            0.008515
                  32,            0.020565,            0.010266,             0.03341,             0.79299,             0.72238,             0.84537,             0.60421,            0.014989,            0.003118,            0.018261,           0.0084655,           0.0084655,           0.0084655
